,object_id,frame_list,x-coordinate,y-coordinate
0,0,1,221,268
1,0,2,221,268
2,0,3,222,238
3,0,4,221,238
4,0,5,218,238
5,0,6,217,237
6,0,7,215,239
7,0,8,215,237
8,0,9,212,237
9,0,10,211,239
10,0,11,211,240
11,0,12,208,267
12,0,13,205,265
13,0,14,204,237
14,0,15,202,237
15,0,16,200,237
16,0,17,198,236
17,0,18,198,236
18,0,19,198,236
19,0,20,198,236
20,0,21,198,236
21,0,22,198,236
22,0,23,198,236
23,0,24,198,236
24,0,25,198,236
25,0,26,198,236
26,0,27,194,245
27,0,28,194,248
28,0,29,195,249
29,0,30,195,240
30,0,31,196,240
31,0,32,198,239
32,0,33,199,238
33,0,34,198,237
34,0,35,200,236
35,0,36,202,238
36,0,37,203,239
37,0,38,205,237
38,0,39,205,241
39,0,40,207,242
40,0,41,209,241
41,0,42,212,240
42,0,43,215,238
43,0,44,219,239
44,0,45,223,238
45,0,46,225,237
46,0,47,226,238
47,0,48,226,237
48,0,49,229,238
49,0,50,230,238
50,0,51,230,239
51,0,52,232,239
52,0,53,233,239
53,0,54,236,240
54,0,55,238,240
55,0,56,239,240
56,0,57,240,240
57,0,58,241,240
58,0,59,242,239
59,0,60,243,238
60,0,61,243,238
61,0,62,244,239
62,0,63,247,238
63,0,64,249,238
64,0,65,252,237
65,0,66,254,234
66,0,67,254,234
67,0,68,255,238
68,0,69,256,239
69,0,70,259,239
70,0,71,261,239
71,0,72,265,240
72,0,73,271,242
73,0,74,275,242
74,0,75,277,243
75,0,76,276,243
76,0,77,277,244
77,0,78,276,244
78,0,79,276,243
79,0,80,277,243
80,0,81,278,242
81,0,82,280,242
82,0,83,282,243
83,0,84,284,242
84,0,85,288,243
85,0,86,291,242
86,0,87,295,241
87,0,88,299,241
88,0,89,301,240
89,0,90,302,241
90,0,91,304,240
91,0,92,305,242
92,0,93,307,242
93,0,94,309,242
94,0,95,312,242
95,0,96,312,240
96,0,97,313,242
97,0,98,314,243
98,0,99,314,243
99,0,100,315,243
100,0,101,316,243
101,0,102,317,242
102,0,103,317,242
103,0,104,317,240
104,0,105,318,240
105,0,106,318,241
106,0,107,320,239
107,0,108,321,239
108,0,109,322,241
109,0,110,323,243
110,0,111,324,244
111,0,112,325,244
112,0,113,325,243
113,0,114,327,242
114,0,115,329,243
115,0,116,331,242
116,0,117,333,242
117,0,118,334,242
118,0,119,336,242
119,0,120,336,242
120,0,121,336,242
121,0,122,338,241
122,0,123,338,241
123,0,124,339,242
124,0,125,340,241
125,0,126,340,241
126,0,127,349,248
127,0,128,351,248
128,0,129,345,239
129,0,130,346,238
130,0,131,348,238
131,0,132,349,239
132,0,133,349,240
133,0,134,350,240
134,0,135,351,240
135,0,136,352,241
136,0,137,353,241
137,0,138,355,242
138,0,139,356,242
139,0,140,357,243
140,0,141,358,243
141,0,142,358,242
142,0,143,359,242
