object_id,frame_list,x-coordinate,y-coordinate,angle
0,1,229,271,0.9462043795620441
0,2,231,285,0.9394890510948908
0,3,232,221,0.9361313868613141
0,4,236,249,0.9227007299270076
0,5,216,224,0.9898540145985405
0,6,227,250,0.9529197080291973
0,7,187,246,1.0872262773722632
0,8,214,236,0.9965693430656938
0,9,215,237,0.9932116788321171
0,10,199,233,1.0469343065693435
0,11,229,236,0.9462043795620441
0,12,220,269,0.9764233576642339
0,13,201,272,1.0402189781021902
0,14,202,243,1.0368613138686134
0,15,204,230,1.03014598540146
0,16,196,243,1.0570072992700732
0,17,185,244,1.0939416058394165
0,18,202,239,1.0368613138686134
0,19,208,246,1.0167153284671535
0,20,195,221,1.06036496350365
0,21,208,233,1.0167153284671535
0,22,194,240,1.0637226277372265
0,23,201,240,1.0402189781021902
0,24,189,254,1.08051094890511
0,25,199,242,1.0469343065693435
0,26,188,250,1.0838686131386863
0,27,177,249,1.1208029197080296
0,28,188,248,1.0838686131386863
0,29,203,253,1.033503649635037
0,30,203,249,1.033503649635037
0,31,202,245,1.0368613138686134
0,32,185,212,1.0939416058394165
0,33,189,245,1.08051094890511
0,34,210,236,1.0100000000000002
0,35,195,243,1.06036496350365
0,36,203,225,1.033503649635037
0,37,211,240,1.0066423357664238
0,38,212,245,1.003284671532847
0,39,191,247,1.0737956204379566
0,40,205,241,1.0267883211678837
0,41,217,236,0.9864963503649639
0,42,211,223,1.0066423357664238
0,43,210,235,1.0100000000000002
0,44,200,246,1.0435766423357666
0,45,216,235,0.9898540145985405
0,46,222,243,0.9697080291970807
0,47,237,238,0.9193430656934309
0,48,216,227,0.9898540145985405
0,49,229,230,0.9462043795620441
0,50,234,243,0.9294160583941609
0,51,229,245,0.9462043795620441
0,52,238,229,0.9159854014598543
0,53,220,239,0.9764233576642339
0,54,232,228,0.9361313868613141
0,55,228,244,0.9495620437956207
0,56,231,239,0.9394890510948908
0,57,240,243,0.909270072992701
0,58,233,231,0.9327737226277375
0,59,248,237,0.8824087591240879
0,60,258,234,0.8488321167883215
0,61,238,247,0.9159854014598543
0,62,242,231,0.9025547445255477
0,63,248,239,0.8824087591240879
0,64,248,239,0.8824087591240879
0,65,245,244,0.8924817518248178
0,66,247,213,0.8857664233576645
0,67,262,231,0.8354014598540149
0,68,246,237,0.8891240875912412
0,69,257,240,0.8521897810218981
0,70,266,220,0.8219708029197084
0,71,261,249,0.8387591240875916
0,72,258,254,0.8488321167883215
0,73,270,250,0.8085401459854018
0,74,280,251,0.7749635036496354
0,75,273,251,0.7984671532846719
0,76,280,240,0.7749635036496354
0,77,267,253,0.8186131386861317
0,78,276,256,0.788394160583942
0,79,267,238,0.8186131386861317
0,80,272,248,0.8018248175182485
0,81,282,260,0.7682481751824821
0,82,261,236,0.8387591240875916
0,83,281,235,0.7716058394160588
0,84,273,236,0.7984671532846719
0,85,293,246,0.731313868613139
0,86,300,232,0.7078102189781026
0,87,295,246,0.7245985401459857
0,88,311,253,0.6708759124087595
0,89,296,235,0.721240875912409
0,90,311,241,0.6708759124087595
0,91,288,249,0.7481021897810223
0,92,298,240,0.7145255474452559
0,93,291,235,0.7380291970802922
0,94,318,234,0.6473722627737231
0,95,315,236,0.657445255474453
0,96,307,227,0.6843065693430661
0,97,309,241,0.6775912408759128
0,98,303,264,0.6977372262773727
0,99,324,246,0.627226277372263
0,100,308,246,0.6809489051094895
0,101,316,246,0.6540875912408763
0,102,310,228,0.6742335766423362
0,103,318,229,0.6473722627737231
0,104,313,237,0.6641605839416063
0,105,323,240,0.6305839416058396
0,106,318,234,0.6473722627737231
0,107,319,226,0.6440145985401464
0,108,327,239,0.6171532846715331
0,109,324,260,0.627226277372263
0,110,323,257,0.6305839416058396
0,111,317,248,0.6507299270072997
0,112,318,239,0.6473722627737231
0,113,332,244,0.6003649635036499
0,114,331,242,0.6037226277372265
0,115,332,252,0.6003649635036499
0,116,325,257,0.6238686131386864
0,117,328,255,0.6137956204379564
0,118,340,247,0.5735036496350367
0,119,327,219,0.6171532846715331
0,120,331,241,0.6037226277372265
0,121,347,247,0.5500000000000003
