,object_id,frame_list,x-coordinate,y-coordinate
0,0,1,350,253
1,0,2,350,253
2,0,3,349,253
3,0,4,349,253
4,0,5,347,251
5,0,6,346,250
6,0,7,337,245
7,0,8,337,244
8,0,9,336,244
9,0,10,335,244
10,0,11,334,244
11,0,12,333,244
12,0,13,333,244
13,0,14,332,244
14,0,15,332,244
15,0,16,331,246
16,0,17,331,246
17,0,18,330,247
18,0,19,329,248
19,0,20,327,248
20,0,21,323,247
21,0,22,322,247
22,0,23,321,247
23,0,24,321,246
24,0,25,320,246
25,0,26,318,247
26,0,27,318,247
27,0,28,317,247
28,0,29,318,245
29,0,30,317,246
30,0,31,317,246
31,0,32,317,244
32,0,33,317,243
33,0,34,315,245
34,0,35,315,246
35,0,36,314,247
36,0,37,313,247
37,0,38,311,248
38,0,39,308,246
39,0,40,305,246
40,0,41,301,246
41,0,42,299,248
42,0,43,296,247
43,0,44,294,247
44,0,45,292,248
45,0,46,291,247
46,0,47,290,248
47,0,48,289,247
48,0,49,286,247
49,0,50,283,247
50,0,51,280,246
51,0,52,280,245
52,0,53,279,245
53,0,54,274,245
54,0,55,272,243
55,0,56,272,243
56,0,57,268,242
57,0,58,266,243
58,0,59,265,243
59,0,60,262,245
60,0,61,259,245
61,0,62,258,246
62,0,63,256,245
63,0,64,254,246
64,0,65,252,246
65,0,66,251,248
66,0,67,250,249
67,0,68,248,248
68,0,69,246,249
69,0,70,244,248
70,0,71,241,249
71,0,72,241,247
72,0,73,238,246
73,0,74,237,244
74,0,75,236,243
75,0,76,234,242
76,0,77,230,242
77,0,78,228,241
78,0,79,228,239
79,0,80,227,239
80,0,81,226,240
81,0,82,224,241
82,0,83,224,242
83,0,84,224,243
84,0,85,224,242
85,0,86,224,242
86,0,87,224,242
87,0,88,224,241
88,0,89,222,241
89,0,90,223,240
90,0,91,223,240
91,0,92,224,239
92,0,93,223,243
93,0,94,223,244
94,0,95,222,245
95,0,96,221,244
96,0,97,219,239
97,0,98,218,239
98,0,99,217,242
99,0,100,215,242
100,0,101,214,242
101,0,102,213,241
102,0,103,212,241
103,0,104,211,241
104,0,105,210,241
105,0,106,211,242
106,0,107,211,241
107,0,108,211,241
108,0,109,212,242
109,0,110,212,242
110,0,111,214,242
111,0,112,215,242
112,0,113,216,241
113,0,114,218,242
114,0,115,218,243
115,0,116,218,244
116,0,117,219,244
117,0,118,220,243
118,0,119,221,243
119,0,120,223,244
120,0,121,225,243
121,0,122,227,244
122,0,123,228,244
123,0,124,230,245
124,0,125,232,244
125,0,126,234,243
126,0,127,235,246
127,0,128,238,247
128,0,129,240,247
129,0,130,243,246
130,0,131,245,246
131,0,132,247,245
132,0,133,249,243
133,0,134,251,244
134,0,135,251,245
