object_id,frame_list,x-coordinate,y-coordinate,angle
0,1,302,243,2.1812280701754387
0,2,297,253,2.1992105263157895
0,3,293,258,2.21359649122807
0,4,280,243,2.2603508771929826
0,5,285,240,2.242368421052632
0,6,282,252,2.2531578947368422
0,7,296,242,2.2028070175438597
0,8,268,242,2.303508771929825
0,9,276,251,2.274736842105263
0,10,278,264,2.267543859649123
0,11,279,239,2.2639473684210527
0,12,265,249,2.3142982456140353
0,13,266,270,2.310701754385965
0,14,253,235,2.3574561403508776
0,15,260,261,2.332280701754386
0,16,253,234,2.3574561403508776
0,17,238,256,2.41140350877193
0,18,249,244,2.371842105263158
0,19,247,232,2.3790350877192985
0,20,248,233,2.3754385964912283
0,21,245,252,2.386228070175439
0,22,231,260,2.436578947368421
0,23,221,256,2.472543859649123
0,24,227,244,2.450964912280702
0,25,210,240,2.5121052631578946
0,26,205,233,2.530087719298246
0,27,203,240,2.537280701754386
0,28,197,236,2.558859649122807
0,29,197,239,2.558859649122807
0,30,194,242,2.569649122807018
0,31,197,249,2.558859649122807
0,32,206,248,2.5264912280701757
0,33,202,248,2.5408771929824563
0,34,182,240,2.61280701754386
0,35,191,267,2.580438596491228
0,36,193,261,2.5732456140350877
0,37,183,255,2.6092105263157896
0,38,197,246,2.558859649122807
0,39,192,246,2.5768421052631583
0,40,173,266,2.6538
0,41,194,240,2.569649122807018
0,42,177,259,2.6402
0,43,186,250,2.598421052631579
0,44,196,278,2.562456140350877
0,45,168,236,2.6708
0,46,179,256,2.6334
0,47,180,263,2.62
0,48,160,262,2.698
0,49,177,254,2.6402
0,50,152,246,2.7252
0,51,160,251,2.698
0,52,160,265,2.698
0,53,153,243,2.7218
0,54,172,260,2.6572
0,55,157,256,2.7082
0,56,156,252,2.7116
0,57,130,246,2.8
0,58,151,254,2.7286
0,59,153,247,2.7218
0,60,149,265,2.7354000000000003
0,61,142,282,2.7592
0,62,151,258,2.7286
0,63,154,248,2.7184
0,64,130,270,2.8
0,65,139,254,2.7694
0,66,152,240,2.7252
0,67,135,262,2.783
0,68,142,244,2.7592
0,69,130,262,2.8
0,70,127,284,2.8102
0,71,132,263,2.7932
0,72,133,241,2.7898
0,73,144,263,2.7524
0,74,129,269,2.8034
0,75,125,260,2.817
0,76,129,265,2.8034
0,77,135,268,2.783
0,78,149,254,2.7354000000000003
0,79,112,256,2.8612
0,80,120,276,2.834
0,81,138,243,2.7728
0,82,130,267,2.8
0,83,131,246,2.7966
0,84,138,254,2.7728
0,85,126,260,2.8136
0,86,137,244,2.7762000000000002
0,87,138,255,2.7728
0,88,133,271,2.7898
0,89,116,262,2.8476
0,90,122,265,2.8272
0,91,133,257,2.7898
0,92,128,262,2.8068
0,93,112,262,2.8612
0,94,110,270,2.868
0,95,137,253,2.7762000000000002
0,96,117,258,2.8442
0,97,116,260,2.8476
0,98,135,253,2.783
0,99,145,266,2.749
0,100,123,237,2.8238
