object_id,frame_list,x-coordinate,y-coordinate,angle
0,1,162,257,2.6912000000000003
0,2,159,278,2.7014
0,3,164,257,2.6844
0,4,163,264,2.6878
0,5,191,269,2.580438596491228
0,6,162,243,2.6912000000000003
0,7,173,258,2.6538
0,8,161,256,2.6946
0,9,172,245,2.6572
0,10,161,261,2.6946
0,11,178,257,2.6368
0,12,168,241,2.6708
0,13,169,269,2.6673999999999998
0,14,173,262,2.6538
0,15,168,261,2.6708
0,16,196,261,2.562456140350877
0,17,190,250,2.5840350877192986
0,18,190,266,2.5840350877192986
0,19,195,251,2.5660526315789474
0,20,180,259,2.62
0,21,195,242,2.5660526315789474
0,22,181,263,2.61640350877193
0,23,168,240,2.6708
0,24,157,247,2.7082
0,25,204,247,2.533684210526316
0,26,177,263,2.6402
0,27,186,248,2.598421052631579
0,28,179,261,2.6334
0,29,208,249,2.5192982456140354
0,30,193,274,2.5732456140350877
0,31,199,255,2.5516666666666667
0,32,197,271,2.558859649122807
0,33,199,275,2.5516666666666667
0,34,201,244,2.5444736842105264
0,35,198,265,2.555263157894737
0,36,197,257,2.558859649122807
0,37,194,252,2.569649122807018
0,38,197,248,2.558859649122807
0,39,199,240,2.5516666666666667
0,40,194,255,2.569649122807018
0,41,185,255,2.6020175438596493
0,42,199,251,2.5516666666666667
0,43,209,241,2.515701754385965
0,44,195,236,2.5660526315789474
0,45,192,242,2.5768421052631583
0,46,214,245,2.497719298245614
0,47,205,245,2.530087719298246
0,48,201,248,2.5444736842105264
0,49,212,263,2.5049122807017543
0,50,213,247,2.5013157894736846
0,51,215,244,2.494122807017544
0,52,208,249,2.5192982456140354
0,53,222,253,2.468947368421053
0,54,216,257,2.4905263157894737
0,55,213,244,2.5013157894736846
0,56,224,231,2.4617543859649125
0,57,211,244,2.508508771929825
0,58,236,229,2.41859649122807
0,59,225,232,2.4581578947368423
0,60,236,237,2.41859649122807
0,61,246,245,2.3826315789473687
0,62,251,242,2.364649122807018
0,63,241,236,2.4006140350877194
0,64,253,241,2.3574561403508776
0,65,251,246,2.364649122807018
0,66,252,247,2.3610526315789473
0,67,259,239,2.335877192982456
0,68,269,231,2.2999122807017542
0,69,248,234,2.3754385964912283
0,70,249,222,2.371842105263158
0,71,261,267,2.328684210526316
0,72,266,228,2.310701754385965
0,73,275,237,2.2783333333333333
0,74,277,248,2.271140350877193
0,75,266,232,2.310701754385965
0,76,270,246,2.2963157894736845
0,77,270,246,2.2963157894736845
0,78,256,253,2.3466666666666667
0,79,293,246,2.21359649122807
0,80,272,221,2.2891228070175442
0,81,287,238,2.2351754385964915
0,82,289,247,2.227982456140351
0,83,281,234,2.2567543859649124
0,84,285,243,2.242368421052632
0,85,271,237,2.292719298245614
0,86,306,244,2.166842105263158
0,87,287,254,2.2351754385964915
0,88,308,239,2.159649122807018
0,89,288,247,2.2315789473684213
0,90,304,241,2.1740350877192984
0,91,309,239,2.1560526315789477
0,92,290,234,2.224385964912281
0,93,300,225,2.188421052631579
0,94,291,253,2.2207894736842104
0,95,311,245,2.148859649122807
0,96,314,225,2.1380701754385965
0,97,306,217,2.166842105263158
0,98,315,233,2.1344736842105263
0,99,321,230,2.1128947368421054
0,100,331,230,2.0769298245614034
0,101,332,239,2.0733333333333333
0,102,312,200,2.1452631578947368
0,103,305,203,2.1704385964912283
0,104,306,210,2.166842105263158
0,105,322,205,2.109298245614035
0,106,322,202,2.109298245614035
0,107,303,203,2.1776315789473686
0,108,313,202,2.1416666666666666
0,109,306,215,2.166842105263158
0,110,326,199,2.094912280701754
0,111,319,192,2.1200877192982457
0,112,339,199,2.048157894736842
0,113,322,204,2.109298245614035
0,114,327,214,2.0913157894736845
0,115,320,205,2.1164912280701755
0,116,305,198,2.1704385964912283
0,117,325,201,2.0985087719298248
0,118,327,206,2.0913157894736845
0,119,312,210,2.1452631578947368
0,120,312,238,2.1452631578947368
0,121,319,220,2.1200877192982457
0,122,306,213,2.166842105263158
0,123,324,203,2.1021052631578945
0,124,325,214,2.0985087719298248
0,125,311,217,2.148859649122807
0,126,318,208,2.123684210526316
0,127,315,205,2.1344736842105263
0,128,313,193,2.1416666666666666
0,129,319,202,2.1200877192982457
0,130,321,201,2.1128947368421054
0,131,316,204,2.130877192982456
0,132,310,213,2.1524561403508775
0,133,326,209,2.094912280701754
0,134,335,197,2.062543859649123
0,135,313,175,2.1416666666666666
0,136,319,219,2.1200877192982457
0,137,332,215,2.0733333333333333
0,138,321,212,2.1128947368421054
0,139,331,220,2.0769298245614034
0,140,325,206,2.0985087719298248
0,141,321,212,2.1128947368421054
0,142,309,204,2.1560526315789477
0,143,315,217,2.1344736842105263
0,144,308,210,2.159649122807018
0,145,304,217,2.1740350877192984
0,146,309,222,2.1560526315789477
0,147,308,214,2.159649122807018
0,148,297,212,2.1992105263157895
0,149,327,225,2.0913157894736845
0,150,301,229,2.184824561403509
0,151,294,253,2.21
0,152,291,228,2.2207894736842104
0,153,303,235,2.1776315789473686
0,154,293,239,2.21359649122807
0,155,306,237,2.166842105263158
0,156,292,226,2.2171929824561403
0,157,265,237,2.3142982456140353
0,158,288,244,2.2315789473684213
0,159,267,232,2.307105263157895
0,160,273,246,2.2855263157894736
0,161,275,234,2.2783333333333333
0,162,285,257,2.242368421052632
0,163,282,241,2.2531578947368422
0,164,261,243,2.328684210526316
0,165,271,231,2.292719298245614
0,166,284,244,2.245964912280702
0,167,276,255,2.274736842105263
0,168,267,246,2.307105263157895
0,169,264,239,2.3178947368421055
0,170,272,241,2.2891228070175442
0,171,269,240,2.2999122807017542
0,172,276,246,2.274736842105263
0,173,261,241,2.328684210526316
0,174,246,230,2.3826315789473687
0,175,252,256,2.3610526315789473
0,176,247,248,2.3790350877192985
0,177,253,262,2.3574561403508776
0,178,242,249,2.3970175438596493
0,179,228,256,2.447368421052632
0,180,233,247,2.4293859649122806
0,181,214,248,2.497719298245614
0,182,218,252,2.4833333333333334
0,183,226,256,2.454561403508772
0,184,216,255,2.4905263157894737
0,185,214,256,2.497719298245614
0,186,212,255,2.5049122807017543
0,187,212,231,2.5049122807017543
0,188,223,239,2.4653508771929826
0,189,208,246,2.5192982456140354
0,190,206,254,2.5264912280701757
0,191,206,256,2.5264912280701757
0,192,227,238,2.450964912280702
0,193,210,263,2.5121052631578946
