,object_id,frame_list,x-coordinate,y-coordinate
0,0,1,355,242
1,0,2,357,243
2,0,3,358,244
3,0,4,365,251
4,0,5,365,250
5,0,6,366,251
6,0,7,367,251
7,0,8,368,251
8,0,9,370,251
9,0,10,371,251
10,0,11,372,248
11,0,12,372,247
12,0,13,374,248
13,0,14,376,247
14,0,15,376,252
15,0,16,377,251
16,0,17,377,250
17,0,18,377,254
18,0,19,378,255
19,0,20,380,253
20,0,21,382,254
21,0,22,382,253
22,0,23,383,252
23,0,24,385,253
24,0,25,386,253
25,0,26,388,254
26,0,27,390,252
27,0,28,392,251
28,0,29,395,250
29,0,30,396,251
30,0,31,398,249
31,0,32,399,249
32,0,33,399,249
33,0,34,402,251
34,0,35,403,251
35,0,36,404,252
36,0,37,405,251
37,0,38,405,251
38,0,39,406,251
39,0,40,407,250
40,0,41,407,250
41,0,42,407,249
42,0,43,407,249
43,0,44,407,248
44,0,45,407,246
45,0,46,408,246
46,0,47,409,247
47,0,48,410,248
48,0,49,411,249
49,0,50,412,250
50,0,51,413,251
51,0,52,414,253
52,0,53,414,253
53,0,54,415,252
54,0,55,417,252
55,0,56,418,252
56,0,57,418,252
57,0,58,419,252
58,0,59,420,252
59,0,60,420,252
60,0,61,424,251
61,0,62,424,251
62,0,63,425,250
63,0,64,427,251
64,0,65,428,252
65,0,66,429,252
66,0,67,430,252
67,0,68,430,251
68,0,69,430,252
69,0,70,430,251
70,0,71,431,252
71,0,72,432,251
72,0,73,432,251
73,0,74,433,251
74,0,75,434,251
75,0,76,436,250
76,0,77,436,250
77,0,78,436,251
78,0,79,436,251
79,0,80,434,251
80,0,81,434,251
81,0,82,433,251
82,0,83,434,251
83,0,84,434,250
84,0,85,435,251
85,0,86,434,251
86,0,87,434,251
87,0,88,434,250
88,0,89,433,249
89,0,90,431,250
90,0,91,430,249
91,0,92,429,249
92,0,93,428,249
93,0,94,428,248
94,0,95,427,249
95,0,96,427,249
96,0,97,427,248
97,0,98,426,249
98,0,99,426,250
99,0,100,426,250
100,0,101,425,249
101,0,102,425,250
102,0,103,424,250
103,0,104,423,250
104,0,105,423,250
105,0,106,421,251
106,0,107,421,250
107,0,108,420,251
108,0,109,417,250
109,0,110,415,249
110,0,111,413,249
111,0,112,412,248
112,0,113,410,247
113,0,114,409,247
114,0,115,407,249
115,0,116,406,249
116,0,117,404,251
117,0,118,402,250
118,0,119,401,253
119,0,120,401,252
120,0,121,399,252
121,0,122,398,252
122,0,123,397,252
123,0,124,394,252
124,0,125,392,252
125,0,126,389,252
126,0,127,386,251
127,0,128,383,252
128,0,129,380,250
129,0,130,379,249
130,0,131,378,251
131,0,132,376,252
132,0,133,373,252
133,0,134,370,253
134,0,135,370,255
135,0,136,368,254
136,0,137,365,254
137,0,138,364,253
138,0,139,362,253
139,0,140,361,253
140,0,141,361,253
141,0,142,358,251
142,0,143,356,250
143,0,144,354,251
144,0,145,353,251
145,0,146,352,252
146,0,147,349,251
147,0,148,346,251
148,0,149,346,251
149,0,150,346,251
150,0,151,331,243
151,0,152,329,242
152,0,153,328,244
153,0,154,325,243
154,0,155,320,244
155,0,156,321,253
156,0,157,310,243
157,0,158,308,242
158,0,159,303,243
159,0,160,302,240
160,0,161,298,239
161,0,162,296,239
162,0,163,291,244
163,0,164,289,245
164,0,165,284,246
165,0,166,281,247
166,0,167,278,245
167,0,168,274,245
168,0,169,272,245
169,0,170,269,242
170,0,171,264,244
171,0,172,260,244
172,0,173,254,243
173,0,174,247,242
174,0,175,244,243
175,0,176,238,244
176,0,177,238,246
177,0,178,239,246
178,0,179,239,247
179,0,180,238,248
180,0,181,226,246
181,0,182,215,245
182,0,183,207,245
183,0,184,202,240
184,0,185,198,241
185,0,186,195,244
186,0,187,194,244
187,0,188,190,240
188,0,189,190,240
189,0,190,184,241
190,0,191,179,248
191,0,192,173,250
192,0,193,168,250
193,0,194,165,248
194,0,195,158,248
195,0,196,154,247
196,0,197,152,252
197,0,198,149,248
198,0,199,149,241
199,0,200,146,241
200,0,201,143,245
201,0,202,140,244
202,0,203,139,244
203,0,204,139,244
204,0,205,121,244
205,0,206,118,244
206,0,207,118,244
207,0,208,116,255
208,0,209,114,254
209,0,210,109,245
210,0,211,103,255
211,0,212,98,255
212,0,213,92,241
213,0,214,88,240
214,0,215,86,239
215,0,216,86,239
216,0,217,88,240
217,0,218,92,242
218,0,219,94,242
219,0,220,98,242
220,0,221,105,243
221,0,222,111,245
222,0,223,112,247
223,0,224,112,246
224,0,225,112,245
225,0,226,115,247
226,0,227,117,250
227,0,228,121,252
228,0,229,116,256
229,0,230,116,256
230,0,231,116,256
231,0,232,162,243
232,0,233,164,244
233,0,234,167,239
234,0,235,169,241
235,0,236,172,244
236,0,237,172,248
237,0,238,173,249
238,0,239,176,244
239,0,240,182,247
240,0,241,182,247
241,0,242,194,246
242,0,243,196,247
243,0,244,197,248
244,0,245,197,247
245,0,246,200,245
246,0,247,203,247
247,0,248,208,247
248,0,249,215,248
249,0,250,223,246
250,0,251,227,246
251,0,252,233,246
252,0,253,241,245
253,0,254,247,242
254,0,255,251,246
255,0,256,254,246
256,0,257,257,247
257,0,258,261,248
258,0,259,263,246
259,0,260,269,247
260,0,261,271,250
261,0,262,273,250
262,0,263,276,249
263,0,264,278,249
264,0,265,281,247
265,0,266,284,248
266,0,267,285,246
267,0,268,285,245
268,0,269,286,245
269,0,270,289,243
270,0,271,292,245
271,0,272,294,245
272,0,273,297,246
273,0,274,299,245
274,0,275,305,244
275,0,276,310,244
276,0,277,311,245
277,0,278,311,245
278,0,279,311,244
279,0,280,312,246
280,0,281,314,245
281,0,282,316,245
282,0,283,319,245
283,0,284,325,244
284,0,285,329,243
285,0,286,332,242
286,0,287,336,242
287,0,288,338,241
288,0,289,340,243
289,0,290,341,242
290,0,291,343,243
291,0,292,344,242
292,0,293,346,243
293,0,294,347,244
294,0,295,348,244
295,0,296,350,244
296,0,297,350,244
297,0,298,349,244
298,0,299,351,244
299,0,300,359,250
300,0,301,360,247
301,0,302,361,245
302,0,303,363,248
303,0,304,362,250
304,0,305,363,254
305,0,306,364,253
306,0,307,365,251
307,0,308,366,252
308,0,309,368,252
309,0,310,372,253
310,0,311,372,253
311,0,312,373,254
312,0,313,374,255
313,0,314,375,255
314,0,315,377,254
315,0,316,379,254
316,0,317,380,253
317,0,318,382,252
318,0,319,384,252
319,0,320,387,250
320,0,321,389,251
321,0,322,389,250
322,0,323,391,251
323,0,324,390,251
324,0,325,391,252
325,0,326,391,253
326,0,327,392,253
327,0,328,393,253
328,0,329,394,252
329,0,330,394,252
330,0,331,395,251
331,0,332,395,252
332,0,333,394,250
333,0,334,394,250
334,0,335,394,250
335,0,336,394,248
336,0,337,395,249
